209	107	252	121	living_room	1	1	
44	115	88	132	bedroom	1	1	
313	120	368	138	bedroom	1	1	
100	57	120	68	bathroom	1	1	
259	49	268	57	restroom	1	1	
58	180	79	186	balcony	1	1	
234	179	320	200	balcony	1	1	
309	58	338	70	closet	1	1	
30	73	55	82	closet	1	1	
224	49	241	59	corridor	1	1	
136	69	167	83	washing_room	1	1	
189	40	214	40	door	2	1	
301	83	318	83	door	2	3	
254	40	254	62	door	2	4	
140	188	148	188	door	2	3	
28	86	39	86	door	2	3	
50	173	87	173	door	3	1	
205	172	257	172	door	3	1	
309	172	347	172	door	3	1	
198	68	243	68	door	3	1	
127	63	127	84	door	5	4	
28	86	66	86	door	5	3	
131	93	173	93	door	3	1	
290	87	290	132	door	3	2	
188	42	188	66	door	9	2	
114	99	114	145	door	3	2	
350	40	350	86	wall	1	1	
18	69	70	69	wall	1	1	
18	69	18	173	wall	1	1	
18	173	114	173	wall	1	1	
114	86	114	188	wall	1	1	
114	188	186	188	wall	1	1	
186	158	186	188	wall	1	1	
175	158	186	158	wall	1	1	
175	158	175	188	wall	1	1	
186	172	387	172	wall	1	1	
387	83	387	172	wall	1	1	
290	83	387	83	wall	1	1	
298	40	298	83	wall	1	1	
176	68	298	68	wall	1	1	
176	40	176	93	wall	1	1	
127	93	176	93	wall	1	1	
127	40	127	96	wall	1	1	
114	96	127	96	wall	1	1	
18	86	127	86	wall	1	1	
70	40	70	86	wall	1	1	
290	68	290	172	wall	1	1	
254	40	254	68	wall	1	1	
188	40	188	68	wall	1	1	
199	172	199	206	wall	2	1	
199	206	350	206	wall	2	1	
350	172	350	206	wall	2	1	
45	173	45	196	wall	2	1	
45	196	92	196	wall	2	1	
92	173	92	196	wall	2	1	
70	40	350	40	wall	1	1	
156	123	175	186	cooking_counter	2	4	
73	45	96	85	bathtub	1	2	
271	45	296	60	toilet	1	4	
158	43	174	66	washing_basin	1	4	
190	44	217	66	entrance	1	1	
