10	131	27	149	balcony	1	1	
146	110	163	128	closet	1	1	
194	111	216	128	bathroom	1	1	
186	145	221	162	kitchen	1	1	
146	167	163	178	closet	1	1	
244	168	254	177	PS	1	1	
79	126	107	140	bedroom	1	1	
172	127	186	133	restroom	1	1	
246	126	254	132	closet	1	1	
258	143	258	163	door	1	2	
170	140	189	140	door	1	3	
142	164	142	181	door	1	4	
168	141	168	161	door	2	4	
141	98	141	139	door	6	4	
195	140	215	140	door	5	1	
243	140	257	140	door	10	1	
32	126	32	180	door	3	2	
32	98	32	182	wall	1	1	
141	98	141	140	wall	1	1	
193	98	193	140	wall	1	1	
242	98	242	140	wall	1	1	
258	98	258	182	wall	1	1	
142	162	142	182	wall	1	1	
242	166	258	166	wall	1	1	
141	140	258	140	wall	1	1	
142	162	168	162	wall	1	1	
168	98	168	182	wall	1	1	
32	182	258	182	wall	1	1	
242	166	242	182	wall	1	1	
5	98	30	98	wall	2	1	
5	98	5	182	wall	2	1	
5	182	32	182	wall	2	1	
32	98	258	98	wall	1	1	
33	100	49	116	special	3	1	
244	99	257	122	special	3	1	
189	165	223	180	cooking_counter	2	1	
224	164	240	180	washing_basin	4	1	
235	142	256	164	entrance	1	1	
175	100	185	122	toilet	1	3	
218	100	241	138	bathtub	1	2	
210	100	224	109	washing_basin	1	3	
