229	25	271	47	bathroom	1	1	
162	84	205	106	corridor	1	1	
132	125	151	147	closet	1	1	
168	127	211	149	closet	1	1	
159	219	203	241	bedroom	1	1	
94	312	137	334	balcony	1	1	
49	83	81	107	kitchen	1	1	
178	42	210	56	washing_room	1	1	
130	53	154	63	bathroom	1	1	
42	216	82	231	bedroom	1	1	
249	113	283	113	door	2	3	
130	72	152	72	door	2	3	
227	33	227	62	door	4	2	
122	119	122	152	door	4	4	
127	302	194	302	door	10	1	
33	302	99	302	door	10	1	
122	194	122	263	door	10	1	
161	156	234	156	door	10	1	
195	72	222	72	door	10	1	
122	46	122	111	door	3	2	
7	73	7	130	door	3	2	
24	156	118	156	door	3	1	
136	5	149	5	door	3	1	
205	5	219	5	door	3	1	
276	5	290	5	door	3	1	
155	113	155	156	wall	1	1	
7	302	239	302	wall	1	1	
122	113	304	113	wall	1	1	
304	5	304	113	wall	1	1	
7	5	7	302	wall	1	1	
239	113	239	302	wall	1	1	
122	5	122	302	wall	1	1	
163	5	163	72	wall	1	1	
227	5	227	72	wall	1	1	
122	72	304	72	wall	1	1	
199	305	199	343	wall	2	1	
27	343	199	343	wall	2	1	
27	305	27	343	wall	2	1	
7	5	304	5	wall	1	1	
7	156	239	156	wall	1	1	
134	11	150	44	toilet	1	3	
266	11	299	63	bathtub	1	2	
241	76	299	110	entrance	1	1	
12	11	86	35	cooking_counter	1	1	
165	9	183	33	washing_basin	1	2	
