506	260	537	295	balcony	1	1	
239	296	309	331	bedroom	1	1	
115	313	173	325	kitchen	1	1	
97	209	131	228	bathroom	1	1	
170	231	197	240	restroom	1	1	
228	206	253	224	closet	1	1	
43	275	43	315	door	1	4	
187	254	217	254	door	2	3	
265	177	265	253	door	3	2	
497	221	497	336	door	3	2	
48	319	85	319	door	3	1	
114	254	145	254	door	4	1	
43	173	497	173	wall	1	1	
497	173	497	385	wall	1	1	
43	385	497	385	wall	1	1	
43	173	43	385	wall	1	1	
497	171	545	171	wall	2	1	
545	171	545	383	wall	2	1	
497	383	545	383	wall	2	1	
43	254	265	254	wall	1	1	
265	173	265	254	wall	1	1	
219	173	219	254	wall	1	1	
149	173	149	254	wall	1	1	
214	315	214	385	wall	1	1	
43	319	90	319	wall	1	1	
90	319	90	385	wall	1	1	
50	256	96	317	entrance	1	1	
98	334	185	380	cooking_counter	1	1	
51	178	91	250	bathtub	1	2	
84	177	109	196	washing_basin	1	3	
174	177	202	222	toilet	1	3	
